,Late Delivery Probability,Risk Category,Actual Late Delivery,Key Risk Drivers,Order Region,Customer Segment,Customer Country,Product Name,Category Name,Department Name,Shipping Mode,Order Status
33282,0.9999684,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,EE. UU.,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Outdoors,First Class,PENDING_PAYMENT
178440,0.9999682,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,EE. UU.,Lawn mower,Garden,Outdoors,First Class,PENDING_PAYMENT
179151,0.9999672,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Home Office,EE. UU.,Smart watch ,Sporting Goods,Fitness,First Class,CLOSED
147859,0.9999672,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West of USA ,Corporate,EE. UU.,Clicgear 8.0 Shoe Brush,Golf Gloves,Outdoors,First Class,PROCESSING
179666,0.99996614,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Home Office,EE. UU.,Fighting video games,Video Games,Discs Shop,First Class,PENDING_PAYMENT
98752,0.99996614,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Asia,Consumer,EE. UU.,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,Outdoors,First Class,PENDING
165659,0.9999659,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,SOLE E25 Elliptical,Basketball,Fitness,First Class,PENDING
103250,0.9999652,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,Puerto Rico,LIJA Women's Button Golf Dress,Golf Shoes,Outdoors,First Class,PROCESSING
104192,0.9999647,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East of USA,Corporate,EE. UU.,Titleist Pro V1 High Numbers Personalized Gol,Electronics,Outdoors,First Class,COMPLETE
52346,0.9999645,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Consumer,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING_PAYMENT
170875,0.9999635,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South of  USA ,Corporate,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,PENDING_PAYMENT
130952,0.99996305,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,EE. UU.,Ogio Race Golf Shoes,Golf Bags & Carts,Outdoors,First Class,PENDING
173229,0.9999628,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Home Office,Puerto Rico,Web Camera,Cameras ,Technology,First Class,CLOSED
5029,0.9999621,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,ON_HOLD
175072,0.99996185,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Oceania,Home Office,EE. UU.,Lawn mower,Garden,Outdoors,First Class,CLOSED
41310,0.9999616,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central Asia,Corporate,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,COMPLETE
69739,0.9999614,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Southern Europe,Corporate,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
121021,0.99996126,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING_PAYMENT
45102,0.9999609,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West of USA ,Consumer,EE. UU.,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Fitness,First Class,COMPLETE
179016,0.99996006,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Home Office,EE. UU.,Adult dog supplies,Pet Supplies,Pet Shop,First Class,PENDING
172973,0.99995995,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,Puerto Rico,Web Camera,Cameras ,Technology,First Class,ON_HOLD
11545,0.99995995,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING
123422,0.9999596,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Northern Europe,Consumer,Puerto Rico,Glove It Women's Mod Oval Golf Glove,Golf Balls,Outdoors,First Class,COMPLETE
162648,0.99995947,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,Puerto Rico,Team Golf San Francisco Giants Putter Grip,Accessories,Outdoors,First Class,COMPLETE
29425,0.99995923,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PENDING
4611,0.99995923,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PENDING
78585,0.9999583,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Clicgear Rovic Cooler Bag,Golf Gloves,Outdoors,First Class,PENDING
174778,0.99995804,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,EE. UU.,DVDs ,DVDs,Discs Shop,First Class,COMPLETE
130716,0.9999577,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PENDING
101784,0.9999572,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Southeast Asia,Corporate,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
174333,0.99995697,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,Puerto Rico,Industrial consumer electronics,Consumer Electronics,Technology,First Class,COMPLETE
177191,0.9999559,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Corporate,Puerto Rico,Summer dresses,Women's Clothing,Apparel,First Class,ON_HOLD
172857,0.9999558,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,Puerto Rico,Web Camera,Cameras ,Technology,First Class,ON_HOLD
64343,0.9999553,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Corporate,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING_PAYMENT
174230,0.99995506,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Industrial consumer electronics,Consumer Electronics,Technology,First Class,COMPLETE
27392,0.99995494,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",North Africa,Consumer,Puerto Rico,Glove It Imperial Golf Towel,Trade-In,Outdoors,First Class,PENDING_PAYMENT
179090,0.99995434,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Corporate,Puerto Rico,Smart watch ,Sporting Goods,Fitness,First Class,COMPLETE
56126,0.9999542,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Central America,Consumer,EE. UU.,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness,First Class,PROCESSING
178865,0.9999541,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Corporate,EE. UU.,Adult dog supplies,Pet Supplies,Pet Shop,First Class,CLOSED
176549,0.99995387,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Corporate,EE. UU.,Toys ,Toys,Fan Shop,First Class,COMPLETE
175051,0.9999536,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Eastern Asia,Corporate,Puerto Rico,Lawn mower,Garden,Outdoors,First Class,COMPLETE
172428,0.9999535,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Southern Europe,Consumer,EE. UU.,Sports Books ,Books ,Book Shop,First Class,PENDING_PAYMENT
41256,0.9999534,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Outdoors,First Class,PENDING_PAYMENT
104709,0.99995327,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PROCESSING
172763,0.99995327,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Southern Europe,Consumer,EE. UU.,Web Camera,Cameras ,Technology,First Class,CLOSED
62552,0.99995315,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Africa,Consumer,EE. UU.,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors,First Class,COMPLETE
175268,0.9999528,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Eastern Asia,Consumer,EE. UU.,Lawn mower,Garden,Outdoors,First Class,PENDING
997,0.99995255,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",West Africa,Corporate,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,CLOSED
174701,0.99995244,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,DVDs ,DVDs,Discs Shop,First Class,PENDING
87868,0.9999522,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Northern Europe,Corporate,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,COMPLETE
115181,0.9999522,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Home Office,Puerto Rico,Nike Women's Tempo Shorts,Cardio Equipment,Footwear,First Class,COMPLETE
56626,0.9999521,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Consumer,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,PAYMENT_REVIEW
138526,0.99995196,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",West Africa,Corporate,EE. UU.,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PROCESSING
179102,0.9999517,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Asia,Corporate,Puerto Rico,Smart watch ,Sporting Goods,Fitness,First Class,PENDING
93826,0.99995124,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East Africa,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
175260,0.999951,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Consumer,Puerto Rico,Lawn mower,Garden,Outdoors,First Class,COMPLETE
63315,0.999951,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING_PAYMENT
172220,0.9999509,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,Puerto Rico,Sports Books ,Books ,Book Shop,First Class,CLOSED
17725,0.9999509,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,EE. UU.,Under Armour Women's Ignite Slide,Electronics,Footwear,First Class,PENDING
15363,0.9999509,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,First Class,PENDING_PAYMENT
135534,0.99995077,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING
54842,0.99995065,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,ON_HOLD
159027,0.9999503,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",US Center ,Consumer,EE. UU.,Under Armour Men's Compression EV SL Slide,Electronics,Footwear,First Class,PENDING_PAYMENT
113362,0.9999503,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Clicgear Rovic Cooler Bag,Golf Gloves,Outdoors,First Class,PENDING_PAYMENT
24164,0.9999497,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,COMPLETE
174444,0.9999496,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,EE. UU.,Industrial consumer electronics,Consumer Electronics,Technology,First Class,PENDING_PAYMENT
42115,0.9999496,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
29612,0.99994946,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,COMPLETE
178663,0.99994946,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,Puerto Rico,Rock music,Music,Discs Shop,First Class,PENDING
6965,0.9999491,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,Puerto Rico,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PENDING_PAYMENT
44692,0.999949,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,Puerto Rico,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Fitness,First Class,PROCESSING
45591,0.99994874,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
68732,0.99994874,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Home Office,EE. UU.,Clicgear 8.0 Shoe Brush,Golf Gloves,Outdoors,First Class,PROCESSING
155227,0.9999486,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Consumer,EE. UU.,Team Golf St. Louis Cardinals Putter Grip,Accessories,Outdoors,First Class,COMPLETE
61725,0.99994814,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East of USA,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
17228,0.9999479,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Africa,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PROCESSING
178206,0.9999474,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Corporate,EE. UU.,Porcelain crafts,Crafts,Apparel,First Class,COMPLETE
173961,0.9999474,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,Puerto Rico,Dell Laptop,Computers,Technology,First Class,PENDING_PAYMENT
32870,0.9999472,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",North Africa,Home Office,EE. UU.,Nike Women's Legend V-Neck T-Shirt,Hockey,Fitness,First Class,PENDING_PAYMENT
158830,0.9999472,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Home Office,Puerto Rico,Under Armour Women's Ignite PIP VI Slide,Electronics,Footwear,First Class,COMPLETE
6610,0.9999471,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Corporate,EE. UU.,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PENDING
36037,0.99994695,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,COMPLETE
17070,0.99994695,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Europe,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,COMPLETE
176322,0.99994683,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,EE. UU.,Adult dog supplies,Pet Supplies,Pet Shop,First Class,COMPLETE
174505,0.9999467,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Porcelain crafts,Crafts,Apparel,First Class,ON_HOLD
174289,0.9999466,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Europe,Home Office,Puerto Rico,Industrial consumer electronics,Consumer Electronics,Technology,First Class,ON_HOLD
78591,0.9999466,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING
172387,0.999946,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Northern Europe,Corporate,Puerto Rico,Sports Books ,Books ,Book Shop,First Class,CLOSED
1092,0.9999459,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
119608,0.99994576,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,EE. UU.,Nike Men's Comfort 2 Slide,Tennis & Racquet,Fitness,First Class,PROCESSING
174697,0.9999453,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,EE. UU.,DVDs ,DVDs,Discs Shop,First Class,PENDING
13464,0.99994516,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Africa,Consumer,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,COMPLETE
160243,0.99994516,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING
45093,0.99994516,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PENDING_PAYMENT
137419,0.99994504,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Central America,Home Office,Puerto Rico,Under Armour Men's Tech II T-Shirt,Lacrosse,Fitness,First Class,ON_HOLD
104479,0.9999447,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,EE. UU.,Bridgestone e6 Straight Distance NFL Carolina,Electronics,Outdoors,First Class,PENDING_PAYMENT
145304,0.9999447,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PENDING
128900,0.9999447,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Consumer,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PENDING_PAYMENT
136799,0.9999447,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,CLOSED
135173,0.99994457,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PROCESSING
177316,0.9999443,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,EE. UU.,Sports Books ,Books ,Book Shop,First Class,PENDING
120574,0.9999441,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Consumer,Puerto Rico,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,COMPLETE
82212,0.999944,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
161735,0.999944,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PENDING
172409,0.99994385,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Consumer,EE. UU.,Sports Books ,Books ,Book Shop,First Class,CLOSED
177333,0.99994373,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Asia,Consumer,EE. UU.,Sports Books ,Books ,Book Shop,First Class,CLOSED
126133,0.9999435,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PROCESSING
6282,0.9999434,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Outdoors,First Class,COMPLETE
178468,0.99994314,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Oceania,Consumer,Puerto Rico,Lawn mower,Garden,Outdoors,First Class,COMPLETE
171425,0.9999429,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Central America,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING
96709,0.9999429,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Caribbean,Home Office,Puerto Rico,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,COMPLETE
30355,0.9999428,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PROCESSING
